date,value
1949-01-19,233.709
1949-02-18,246.575
1949-03-20,255.740
1949-04-19,255.671
1949-05-19,243.606
1949-06-18,235.237
1949-07-18,239.785
1949-08-17,240.642
1949-09-16,219.376
1949-10-16,236.826
1949-11-15,226.627
1949-12-15,233.934
1950-01-14,234.791
1950-02-13,251.297
1950-03-15,253.989
1950-04-14,263.120
1950-05-14,260.289
1950-06-13,239.989
1950-07-13,253.713
1950-08-12,242.616
1950-09-11,223.256
1950-10-11,237.892
1950-11-10,229.562
1950-12-10,240.516
1951-01-09,232.191
1951-02-08,256.900
1951-03-10,264.168
1951-04-09,247.590
1951-05-09,250.273
1951-06-08,220.876
1951-07-08,243.722
1951-08-07,235.412
1951-09-06,221.611
1951-10-06,243.523
1951-11-05,220.575
1951-12-05,230.580
1952-01-04,228.688
1952-02-03,256.974
1952-03-04,254.161
1952-04-03,261.404
1952-05-03,254.022
1952-06-02,237.510
1952-07-02,248.404
1952-08-01,250.162
1952-08-31,233.664
1952-09-30,251.850
1952-10-30,236.273
1952-11-29,248.976
1952-12-29,247.996
1953-01-28,270.716
1953-02-27,269.730
1953-03-29,264.190
1953-04-28,256.832
1953-05-28,238.551
1953-06-27,250.319
1953-07-27,238.420
1953-08-26,228.347
1953-09-25,259.207
1953-10-25,236.405
1953-11-24,247.248
1953-12-24,240.819
1954-01-23,268.916
1954-02-22,283.374
1954-03-24,262.412
1954-04-23,255.986
1954-05-23,248.655
1954-06-22,254.937
1954-07-22,248.518
1954-08-21,243.009
1954-09-20,264.698
1954-10-20,246.500
1954-11-19,232.842
1954-12-19,227.343
1955-01-18,257.162
1955-02-17,283.343
1955-03-19,265.165
1955-04-18,267.806
1955-05-18,253.260
1955-06-17,254.999
1955-07-17,245.888
1955-08-16,241.301
1955-09-15,256.594
1955-10-15,224.006
1955-11-14,238.392
1955-12-14,252.770
1956-01-13,276.165
1956-02-12,283.306
1956-03-13,274.208
1956-04-12,272.329
1956-05-12,253.321
1956-06-11,244.239
1956-07-11,262.191
1956-08-10,224.287
1956-09-09,252.140
1956-10-09,213.359
1956-11-08,241.200
1956-12-08,242.933
1957-01-07,276.147
1957-02-06,275.171
1957-03-08,279.589
1957-04-07,267.827
1957-05-07,246.189
1957-06-06,262.289
1957-07-06,256.828
1957-08-05,244.188
1957-09-04,275.532
1957-10-04,253.922
1957-11-03,275.379
1957-12-03,256.470
1958-01-02,285.983
1958-02-01,283.215
1958-03-03,284.928
1958-04-02,287.536
1958-05-02,267.755
1958-06-01,261.413
1958-07-01,274.765
1958-07-31,255.899
1958-08-30,279.084
1958-09-29,240.553
1958-10-29,255.684
1958-11-28,270.806
1958-12-28,294.855
1959-01-27,304.598
1959-02-26,292.011
1959-03-28,279.431
1959-04-27,262.395
1959-05-27,273.921
1959-06-26,275.628
1959-07-26,257.716
1959-08-25,266.558
1959-09-24,252.224
1959-10-24,259.281
1959-11-23,270.788
1959-12-23,309.894
1960-01-22,304.466
1960-02-21,295.480
1960-03-22,282.940
1960-04-21,274.856
1960-05-21,281.892
1960-06-20,273.812
1960-07-20,258.626
1960-08-19,282.543
1960-09-18,257.592
1960-10-18,276.168
1960-11-17,279.641
1960-12-17,307.962
1961-01-16,301.665
1961-02-15,306.902
1961-03-17,307.702
1961-04-16,284.566
1961-05-16,285.373
1961-06-15,272.888
1961-07-15,263.954
1961-08-14,286.902
1961-09-13,255.837
1961-10-13,267.270
1961-11-12,267.195
1961-12-12,295.423
1962-01-11,320.983
1962-02-10,309.400
1962-03-12,299.591
1962-04-11,294.205
1962-05-11,291.472
1962-06-10,286.975
1962-07-10,279.832
1962-08-09,294.755
1962-09-08,265.557
1962-10-08,257.544
1962-11-07,274.224
1962-12-07,308.525
1963-01-06,326.944
1963-02-05,309.231
1963-03-07,314.428
1963-04-06,291.445
1963-05-06,300.165
1963-06-05,286.000
1963-07-05,266.564
1963-08-04,296.392
1963-09-03,282.239
1963-10-03,299.739
1963-11-02,301.411
1963-12-02,315.382
1964-01-01,331.100
1964-01-31,310.812
1964-03-01,323.012
1964-03-31,294.840
1964-04-30,296.510
1964-05-30,289.410
1964-06-29,269.162
1964-07-29,290.998
1964-08-28,280.400
1964-09-27,282.948
1964-10-27,274.986
1964-11-26,300.296
1964-12-26,317.716
1965-01-25,324.625
1965-02-24,312.286
1965-03-26,290.334
1965-04-25,294.622
1965-05-25,284.924
1965-06-24,262.125
1965-07-24,291.749
1965-08-23,279.440
1965-09-22,282.852
1965-10-22,290.626
1965-11-21,315.845
1965-12-21,319.243
1966-01-20,314.792
1966-02-19,311.215
1966-03-21,283.237
1966-04-20,303.195
1966-05-20,285.688
1966-06-19,265.579
1966-07-19,290.747
1966-08-18,276.739
1966-09-17,274.920
1966-10-17,275.711
1966-11-16,318.237
1966-12-16,339.877
1967-01-15,322.399
1967-02-14,310.144
1967-03-16,284.000
1967-04-15,293.469
1967-05-15,289.912
1967-06-14,273.341
1967-07-14,300.155
1967-08-13,278.387
1967-09-12,295.647
1967-10-12,292.962
1967-11-11,318.872
1967-12-11,318.780
1968-01-10,325.616
1968-02-09,315.999
1968-03-10,279.556
1968-04-09,284.667
1968-05-09,288.910
1968-06-08,255.966
1968-07-08,298.252
1968-08-07,279.153
1968-09-06,278.208
1968-10-06,271.218
1968-11-05,298.771
1968-12-05,310.770
1969-01-04,303.776
1969-02-03,300.237
1969-03-05,270.825
1969-04-04,294.889
1969-05-04,299.976
1969-06-03,251.631
1969-07-03,281.710
1969-08-02,266.988
1969-09-01,275.520
1969-10-01,262.529
1969-10-31,302.896
1969-11-30,296.786
1969-12-30,299.280
1970-01-29,292.315
1970-02-28,260.428
1970-03-30,274.101
1970-04-29,269.726
1970-05-29,261.060
1970-06-28,276.437
1970-07-28,254.900
1970-08-27,278.850
1970-09-26,277.911
1970-10-26,293.265
1970-11-25,290.608
1970-12-25,287.952
1971-01-24,284.441
1971-02-23,265.515
1971-03-25,273.144
1971-04-24,264.504
1971-05-24,242.177
1971-06-23,263.494
1971-07-23,241.181
1971-08-22,245.385
1971-09-21,245.313
1971-10-21,262.332
1971-11-20,267.380
1971-12-20,269.864
1972-01-19,268.077
1972-02-18,250.076
1972-03-19,250.856
1972-04-18,236.281
1972-05-18,229.390
1972-06-17,254.045
1972-07-17,237.778
1972-08-16,240.264
1972-09-15,227.417
1972-10-15,245.232
1972-11-14,257.929
1972-12-14,259.555
1973-01-13,262.882
1973-02-12,241.542
1973-03-14,240.621
1973-04-13,247.350
1973-05-13,214.987
1973-06-12,235.311
1973-07-12,225.901
1973-08-11,240.267
1973-09-10,242.743
1973-10-10,244.368
1973-11-09,255.323
1973-12-09,247.616
1974-01-08,250.934
1974-02-07,226.282
1974-03-09,227.910
1974-04-08,218.526
1974-05-08,207.454
1974-06-07,220.936
1974-07-07,228.487
1974-08-06,225.036
1974-09-05,230.044
1974-10-05,248.577
1974-11-04,246.813
1974-12-04,253.500
1975-01-03,239.064
1975-02-02,227.171
1975-03-04,250.742
1975-04-03,234.632
1975-05-03,215.156
1975-06-02,222.684
1975-07-02,223.461
1975-08-01,234.354
1975-08-31,225.014
1975-09-30,262.017
1975-10-30,266.151
1975-11-29,261.862
1975-12-29,244.107
1976-01-28,233.937
1976-02-27,247.328
1976-03-28,235.480
1976-04-27,226.162
1976-05-27,234.500
1976-06-26,238.631
1976-07-26,231.000
1976-08-25,247.726
1976-09-24,268.640
1976-10-24,266.042
1976-11-23,271.836
1976-12-23,265.045
1977-01-22,252.388
1977-02-21,267.402
1977-03-23,230.450
1977-04-22,218.653
1977-05-22,247.062
1977-06-21,226.058
1977-07-21,231.849
1977-08-20,234.290
1977-09-19,226.692
1977-10-19,247.530
1977-11-18,251.636
1977-12-18,239.860
1978-01-17,236.447
1978-02-16,219.671
1978-03-18,213.760
1978-04-17,197.836
1978-05-17,219.474
1978-06-16,201.054
1978-07-16,219.342
1978-08-15,215.107
1978-09-14,215.043
1978-10-14,232.477
1978-11-13,232.407
1978-12-13,210.686
1979-01-12,218.115
1979-02-11,222.211
1979-03-13,207.168
1979-04-12,197.125
1979-05-12,206.212
1979-06-11,195.344
1979-07-11,207.750
1979-08-10,194.395
1979-09-09,218.422
1979-10-09,219.186
1979-11-08,224.100
1979-12-08,204.118
1980-01-07,195.762
1980-02-06,195.703
1980-03-07,198.131
1980-04-06,184.811
1980-05-06,202.154
1980-06-05,191.326
1980-07-05,200.376
1980-08-04,206.110
1980-09-03,206.875
1980-10-03,215.085
1980-11-02,219.982
1980-12-02,229.010
1981-01-01,200.013
1981-01-31,214.825
1981-03-02,208.152
1981-04-01,196.529
1981-05-01,200.596
1981-05-31,199.710
1981-06-30,196.350
1981-07-30,191.342
1981-08-29,225.913
1981-09-28,232.438
1981-10-28,207.648
1981-11-27,210.056
1981-12-27,184.464
1982-01-26,213.222
1982-02-25,202.458
1982-03-27,193.346
1982-04-26,207.270
1982-05-26,185.829
1982-06-25,203.034
1982-07-25,202.150
1982-08-24,219.340
1982-09-23,214.346
1982-10-23,224.954
1982-11-22,219.140
1982-12-22,206.766
1983-01-21,207.523
1983-02-20,208.280
1983-03-22,195.100
1983-04-21,207.334
1983-05-21,208.909
1983-06-20,204.750
1983-07-20,219.425
1983-08-19,234.091
1983-09-18,234.838
1983-10-18,227.404
1983-11-17,215.886
1983-12-17,197.835
1984-01-16,216.571
1984-02-15,194.446
1984-03-16,192.753
1984-04-15,222.905
1984-05-15,197.532
1984-06-14,204.816
1984-07-14,204.753
1984-08-13,236.495
1984-09-12,247.836
1984-10-12,230.645
1984-11-11,224.056
1984-12-11,208.512
1985-01-10,217.405
